source	status	url	docs_url	raw_path	refresh_days	last_checked_at_utc	last_downloaded_at_utc	file_mtime_utc	size_bytes	sha256	md5	content_changed	official_update_note	error
clingen_dosage_gene_grch38	downloaded	https://ftp.clinicalgenome.org/ClinGen_gene_curation_list_GRCh38.tsv	https://search.clinicalgenome.org/kb/downloads	/paedyl01/disk1/yangyxt/public_data/gene_pathogenic_mechanism/raw/ClinGen_gene_curation_list_GRCh38.tsv	1	2026-07-24T09:35:52+00:00	2026-07-24T09:35:52+00:00	2026-07-24T09:35:52+00:00	246389	2d191ce79480427dd5adb5a9b940b6e616cd545ec3aef23c4268aff5ff3616f8	de6c6068366076b810886f0b46c8c0fe	False	ClinGen says dosage curated gene TSV files are updated daily; the FTP index is refreshed nightly.	
g2p_ddg2p	skipped_fresh	https://www.ebi.ac.uk/gene2phenotype/api/panel/all/download	https://www.ebi.ac.uk/gene2phenotype/api/	/paedyl01/disk1/yangyxt/public_data/gene_pathogenic_mechanism/raw/AllG2P.csv	30	2026-07-24T09:35:50+00:00		2026-07-23T03:36:32+00:00	2444885	233ec4846789c082944d0c21bdb62a57c28a47ee72eefe13f4f02f97a1ccee37	efb52cc1f960537748c562bf52746d9b	False	G2P was redesigned as a Vue SPA in 2025. The old DDG2P.csv.gz static download URL is gone. Use the new API endpoint: /api/panel/{panel}/download (CSV, not gzipped). AllG2P covers all panels including DD, Eye, Skin, Cancer, Cardiac.	
gofcards_gof_variants	skipped_fresh	https://download.genemed.tech/upload/GainFunCards/gofcards_data_download.xlsx	https://academic.oup.com/nar/article/53/D1/D976/7907365	/paedyl01/disk1/yangyxt/public_data/gene_pathogenic_mechanism/raw/gofcards/gofcards_data_download.xlsx	180	2026-07-24T09:35:52+00:00		2026-06-05T12:17:47+00:00	563471	a4f6bcf812f24d5b6cfc06e8cdf74a1cdeea6afdccb92489047c821eecc11b43	de1d8e4ed595fe44184e576b68acee3c	False	GoFCards (NAR 2025, 53:D976-D988, PMID:39578693) is a curated GOF variant database. Updates follow publication cycles.	
orphadata_gene_disease	downloaded	https://www.orphadata.com/data/xml/en_product6.xml	https://www.orphadata.com/genes/	/paedyl01/disk1/yangyxt/public_data/gene_pathogenic_mechanism/raw/orphadata/en_product6.xml	30	2026-07-24T09:35:58+00:00	2026-07-24T09:35:58+00:00	2026-07-24T09:35:58+00:00	22612034	f1c039f78683beea7ca5b34d1c01c4ec98f80e8ca488eee69770074db1020e39	83dcbf35a29393f27ba2683f157977f2	False	Orphadata Product 6 contains disorder-gene relationship types. PriVA retains only assessed relationships whose type explicitly states a germline gain-of-function or loss-of-function mechanism.	
panelapp_all_panels	downloaded	https://panelapp.genomicsengland.co.uk/api/v1/panels/	https://panelapp.genomicsengland.co.uk/api/v1/panels/	/paedyl01/disk1/yangyxt/public_data/gene_pathogenic_mechanism/raw/panelapp_all_panels.json	7	2026-07-24T09:44:01+00:00	2026-07-24T09:44:01+00:00	2026-07-24T09:44:01+00:00	78148536	c2fe9e1b6f7a42865fc12125dfc4eef533abfca90d2ea14aaa5910032a998fe7	b1496a1b2cab0497e381fed65923ce0e	False	PanelApp is curator/API-backed and does not publish one fixed bulk release cycle; panel versions expose version_created timestamps.	
