gene_symbol	historical_mechanisms	exact_condition_hpo_route	exact_route_with_inheritance	exact_route_with_penetrance	exact_route_with_both	exact_condition_count	exact_sources	exact_mechanisms	included_hpo_condition_with_inheritance_and_penetrance	unlinked_same_condition_hpo_candidate	unlinked_cross_condition_gene_wide_candidate	hpo_conditions_with_both
SCN10A	GOF	0	0	0	0	0			0	0	0	
SCN11A	GOF	1	1	0	0	2	G2P_DDG2P;GoFCards_exact+ClinVar_VCV	GOF	0	0	0	
SCN1A	GOF;LOF	1	1	0	0	3	G2P_DDG2P;GoFCards_exact+ClinVar_VCV	GOF;LOF	0	0	0	
SCN1B	GOF;LOF	1	1	1	1	5	G2P_DDG2P;GoFCards_exact+ClinVar_VCV;Orphadata	GOF;LOF	1	0	0	OMIM:604233
SCN2A	GOF;LOF	1	1	0	0	3	GoFCards_exact+ClinVar_VCV;Orphadata	GOF	0	0	0	
SCN2B	GOF;LOF	1	1	0	0	2	GoFCards_exact+ClinVar_VCV;Orphadata	GOF;LOF	0	0	0	
SCN3A	GOF	0	0	0	0	0			0	0	0	
SCN3B	GOF;LOF	1	0	0	0	1	Orphadata	LOF	0	0	0	
SCN4A	GOF	1	1	0	0	2	G2P_DDG2P;Orphadata	GOF	1	0	0	OMIM:170400
SCN5A	GOF;LOF	1	1	0	0	10	G2P_DDG2P;GoFCards_exact+ClinVar_VCV;Orphadata	GOF;LOF	0	0	0	
SCN8A	DOMINANT_NEGATIVE;GOF	1	1	0	0	5	G2P_DDG2P;GoFCards_exact+ClinVar_VCV;Orphadata	DOMINANT_NEGATIVE;GOF	0	0	0	
SCN9A	GOF;LOF	1	1	0	0	5	G2P_DDG2P;GoFCards_exact+ClinVar_VCV;Orphadata	GOF;LOF	0	0	0	
SCNN1A	GOF;LOF	1	0	0	0	2	Orphadata	GOF;LOF	0	0	0	
SCNN1B	GOF;LOF	1	0	0	0	2	Orphadata	GOF;LOF	0	0	0	
SCNN1G	GOF;LOF	1	0	0	0	2	Orphadata	GOF;LOF	0	0	0	
SCO1	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SCO2	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SCRIB	LOF	0	0	0	0	0			0	0	0	
SCUBE3	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SCYL1	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SDCCAG8	LOF	1	1	0	0	2	G2P_DDG2P;Orphadata	LOF	0	0	0	
SDHA	LOF	1	1	0	0	2	G2P_DDG2P;Orphadata	LOF	0	0	0	
SDHB	GOF;LOF	1	1	0	0	3	G2P_DDG2P;Orphadata	LOF	1	0	0	OMIM:115310
SDHC	LOF	1	1	0	0	2	G2P_DDG2P;Orphadata	LOF	0	0	0	
SDHD	GOF;LOF	1	1	0	0	3	G2P_DDG2P;Orphadata	LOF	0	0	0	
SEC23A	LOF	1	0	0	0	1	Orphadata	LOF	0	0	0	
SEC23B	GOF;LOF	1	1	0	0	2	G2P_DDG2P	GOF;LOF	0	0	0	
SEC24D	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SECISBP2	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SELENOI	LOF	1	1	0	0	2	G2P_DDG2P;Orphadata	LOF	0	0	0	
SELENON	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SEMA3A	LOF	1	0	0	0	1	Orphadata	LOF	0	0	0	
SEMA7A	GOF	0	0	0	0	0			0	0	0	
SEPHS1	LOF	0	0	0	0	0			0	0	0	
SEPSECS	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SEPTIN4	LOF	0	0	0	0	0			0	0	0	
SERAC1	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SERPINB6	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SERPINB7	LOF	1	0	0	0	1	Orphadata	LOF	0	0	0	
SERPINB8	LOF	0	0	0	0	0			0	0	0	
SERPINE1	GOF	0	0	0	0	0			0	0	0	
SET	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SETBP1	GOF;LOF	1	1	0	0	3	G2P_DDG2P;Orphadata	GOF;LOF	0	0	0	
SETD1A	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SETD1B	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SETD2	GOF;LOF	1	1	0	0	2	G2P_DDG2P;GoFCards_exact+ClinVar_VCV	GOF;LOF	0	0	0	
SETD5	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SETX	GOF;LOF	1	0	0	0	1	Orphadata	LOF	0	0	0	
SF1	LOF	0	0	0	0	0			0	0	0	
SF3B4	LOF	1	1	0	0	2	G2P_DDG2P;Orphadata	LOF	0	0	0	
SFRP4	LOF	1	0	0	0	1	Orphadata	LOF	0	0	0	
SFTPB	LOF	1	0	0	0	1	Orphadata	LOF	0	0	0	
SFTPC	GOF	1	1	0	0	1	GoFCards_exact+ClinVar_VCV	GOF	0	0	0	
SFXN4	LOF	0	0	0	0	0			0	0	0	
SGCE		0	0	0	0	0			1	0	0	OMIM:159900
SGSH	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SGSM3	LOF	0	0	0	0	0			0	0	0	
SH2B1	LOF	1	0	0	0	1	Orphadata	LOF	0	0	0	
SH2D1A	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SH3BP2	GOF	1	1	0	0	1	G2P_DDG2P	GOF	0	0	0	
SH3PXD2B	LOF	1	1	0	0	2	G2P_DDG2P;Orphadata	LOF	0	0	0	
SHANK1	LOF	0	0	0	0	0			0	0	0	
SHANK2	LOF	0	0	0	0	0			0	0	0	
SHANK3	GOF;LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SHH	LOF	1	1	1	1	2	G2P_DDG2P	LOF	1	0	0	OMIM:142945;OMIM:611638
SHOC2	GOF	1	1	0	0	1	G2P_DDG2P;GoFCards_exact+ClinVar_VCV	GOF	0	0	0	
SHOX	LOF	1	1	0	0	4	G2P_DDG2P;Orphadata	LOF	0	0	0	
SHROOM3	LOF	0	0	0	0	0			0	0	0	
SIK1	GOF	1	1	0	0	1	G2P_DDG2P	GOF	0	0	0	
SIL1	LOF	1	1	0	0	2	G2P_DDG2P;Orphadata	LOF	0	0	0	
SIM1	LOF	1	1	0	0	2	G2P_DDG2P;Orphadata	LOF	0	0	0	
SIN3A	LOF	0	0	0	0	0			0	0	0	
SIN3B	LOF	1	0	0	0	1	Orphadata	LOF	0	0	0	
SIRT5	GOF	0	0	0	0	0			0	0	0	
SIRT6	LOF	0	0	0	0	0			0	0	0	
SIX1	LOF	0	0	0	0	0			1	1	1	OMIM:113650
SIX3	LOF	1	1	1	1	1	G2P_DDG2P	LOF	1	0	0	OMIM:157170
SIX6	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SKAP2	GOF	0	0	0	0	0			0	0	0	
SKIC2	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SKIC3	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SLC10A7	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SLC12A3	LOF	1	0	0	0	1	Orphadata	LOF	0	0	0	
SLC12A5	LOF	1	0	0	0	1	Orphadata	LOF	0	0	0	
SLC12A6	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SLC12A9	LOF	0	0	0	0	0			0	0	0	
SLC13A1	LOF	0	0	0	0	0			0	0	0	
SLC13A5	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SLC16A1	LOF	0	0	0	0	0			0	0	0	
SLC16A12	DOMINANT_NEGATIVE	1	1	0	0	1	G2P_DDG2P	DOMINANT_NEGATIVE	0	0	0	
SLC16A2	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SLC17A5	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SLC18A2	LOF	1	0	0	0	1	Orphadata	LOF	0	0	0	
SLC19A3	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SLC1A1	LOF	0	0	0	0	0			0	0	0	
SLC1A2	GOF	0	0	0	0	0			0	0	0	
SLC1A3	GOF	0	0	0	0	0			0	0	0	
SLC22A12	LOF	1	0	0	0	1	Orphadata	LOF	0	0	0	
SLC22A4	GOF	0	0	0	0	0			0	0	0	
SLC22A5	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SLC24A4	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SLC24A5	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SLC25A1	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SLC25A13	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SLC25A15	GOF;LOF	1	1	0	0	2	G2P_DDG2P;Orphadata	LOF	0	0	0	
SLC25A20	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SLC25A24	GOF	1	1	0	0	1	GoFCards_exact+ClinVar_VCV	GOF	0	0	0	
SLC25A26	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SLC25A38	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SLC25A4	LOF	1	0	0	0	1	Orphadata	LOF	0	0	0	
SLC25A42	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SLC25A46	LOF	1	1	0	0	2	G2P_DDG2P;Orphadata	LOF	0	0	0	
SLC26A2	LOF	1	1	0	0	2	G2P_DDG2P;Orphadata	LOF	0	0	0	
SLC26A3	LOF	0	0	0	0	0			0	0	0	
SLC26A4	LOF	1	0	0	0	2	Orphadata	LOF	0	0	0	
SLC27A4	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SLC2A1	LOF	1	1	0	0	2	G2P_DDG2P;Orphadata	LOF	1	0	0	OMIM:612126
SLC2A10	LOF	1	1	0	0	2	G2P_DDG2P;Orphadata	LOF	0	0	0	
SLC2A2	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SLC2A9	LOF	1	0	0	0	1	Orphadata	LOF	0	0	0	
SLC30A3	GOF	0	0	0	0	0			0	0	0	
SLC30A8	GOF	0	0	0	0	0			0	0	0	
SLC30A9	LOF	0	0	0	0	0			0	0	0	
SLC33A1	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SLC34A1	LOF	1	0	0	0	1	Orphadata	LOF	0	0	0	
SLC34A2	LOF	1	0	0	0	1	Orphadata	LOF	0	0	0	
SLC34A3	LOF	1	0	0	0	1	Orphadata	LOF	0	0	0	
SLC35A1	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SLC35A2	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SLC35C1	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SLC35D1	LOF	1	1	0	0	2	G2P_DDG2P;Orphadata	LOF	0	0	0	
SLC37A4	LOF	1	1	0	0	2	G2P_DDG2P	LOF	0	0	0	
SLC38A3	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SLC38A8	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SLC39A14	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SLC39A4	LOF	1	1	0	0	2	G2P_DDG2P;Orphadata	LOF	0	0	0	
SLC39A8	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SLC40A1	GOF;LOF	1	1	0	0	1	G2P_DDG2P;GoFCards_exact+ClinVar_VCV	GOF;LOF	0	0	0	
SLC41A1	GOF	0	0	0	0	0			0	0	0	
SLC45A2	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SLC46A1	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SLC4A10	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SLC4A11	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SLC4A3	LOF	1	0	0	0	1	Orphadata	LOF	0	0	0	
SLC4A4	GOF;LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SLC52A2	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SLC52A3	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SLC5A1	LOF	1	0	0	0	1	Orphadata	LOF	0	0	0	
SLC5A5	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SLC5A6	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SLC5A7	GOF	0	0	0	0	0			0	0	0	
SLC6A1	GOF;LOF	1	1	0	0	2	G2P_DDG2P;Orphadata	LOF	0	0	0	
SLC6A19	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SLC6A2	LOF	0	0	0	0	0			0	0	0	
SLC6A3	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SLC6A4	GOF	0	0	0	0	0			0	0	0	
SLC6A5	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SLC6A8	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SLC6A9	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SLC9A1	LOF	0	0	0	0	0			0	0	0	
SLC9A3	LOF	0	0	0	0	0			0	0	0	
SLC9A6	GOF;LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SLC9A7	GOF	0	0	0	0	0			0	0	0	
SLC9A9	LOF	0	0	0	0	0			0	0	0	
SLCO2A1	LOF	1	0	0	0	1	Orphadata	LOF	0	0	0	
SLIT3	LOF	0	0	0	0	0			0	0	0	
SLITRK6	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SLURP1	LOF	0	0	0	0	0			0	0	0	
SLX4	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SMAD2	LOF	1	1	0	0	2	G2P_DDG2P;Orphadata	LOF	0	0	0	
SMAD3	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SMAD4	GOF;LOF	1	1	0	0	4	G2P_DDG2P;GoFCards_exact+ClinVar_VCV	GOF;LOF	0	0	0	
SMAD6	LOF	0	0	0	0	0			0	0	0	
SMAD9		0	0	0	0	0			1	0	0	OMIM:615342
SMARCA4	GOF;LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SMARCAD1	LOF	0	0	0	0	0			0	0	0	
SMARCAL1	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SMARCB1	GOF;LOF	1	1	1	1	3	G2P_DDG2P;GoFCards_exact+ClinVar_VCV	GOF;LOF	1	0	0	OMIM:162091
SMARCC2	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SMARCD2	LOF	0	0	0	0	0			0	0	0	
SMARCE1	LOF	1	1	1	1	2	G2P_DDG2P;Orphadata	LOF	1	0	0	OMIM:607174
SMC1A	LOF	1	1	0	0	2	G2P_DDG2P;Orphadata	LOF	0	0	0	
SMCHD1	GOF	0	0	0	0	0			0	0	0	
SMG8	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SMG9	LOF	0	0	0	0	0			0	0	0	
SMO	GOF;LOF	1	1	0	0	2	G2P_DDG2P	GOF;LOF	0	0	0	
SMOC1	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SMOC2	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SMPD1	LOF	1	1	0	0	2	G2P_DDG2P;Orphadata	LOF	0	0	0	
SMPD4	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SMPX	GOF	0	0	0	0	0			0	0	0	
SMS	LOF	1	1	0	0	2	G2P_DDG2P;Orphadata	LOF	0	0	0	
SNAI2	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SNAP25	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SNAP29	LOF	1	1	0	0	2	G2P_DDG2P;Orphadata	LOF	0	0	0	
SNAPC4	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SNCA	GOF	1	0	0	0	1	Orphadata	GOF	0	0	0	
SNCB	GOF	0	0	0	0	0			0	0	0	
SNF8	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SNORD118	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SNRPB	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SNRPN	LOF	0	0	0	0	0			0	0	0	
SNTA1	GOF	0	0	0	0	0			0	0	0	
SNUPN	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SNX14	LOF	1	1	0	0	2	G2P_DDG2P;Orphadata	LOF	0	0	0	
SNX3	LOF	0	0	0	0	0			0	0	0	
SOAT1	GOF	0	0	0	0	0			0	0	0	
SOBP	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SOCS1	LOF	0	0	0	0	0			0	0	0	
SOD1	GOF	0	0	0	0	0			0	0	0	
SON	LOF	1	1	0	0	2	G2P_DDG2P;Orphadata	LOF	0	0	0	
SORD	LOF	0	0	0	0	0			0	0	0	
SOS1	GOF	1	1	0	0	2	G2P_DDG2P;GoFCards_exact+ClinVar_VCV;Orphadata	GOF	0	0	0	
SOST	LOF	1	0	0	0	1	Orphadata	LOF	0	0	0	
SOX10	DOMINANT_NEGATIVE;LOF	1	1	0	0	3	G2P_DDG2P;Orphadata	DOMINANT_NEGATIVE;LOF	0	0	0	
SOX17	GOF	0	0	0	0	0			0	0	0	
SOX2	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SOX3	GOF;LOF	1	1	0	0	3	G2P_DDG2P;Orphadata	GOF;LOF	0	0	0	
SOX5	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SOX6	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SOX9	GOF;LOF	1	1	0	0	2	G2P_DDG2P;Orphadata	LOF	0	0	0	
SPAG1	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SPAST	GOF;LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SPATA7	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SPECC1L	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SPEF2	LOF	0	0	0	0	0			0	0	0	
SPEG	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SPEN	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SPG11	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SPIDR	LOF	1	0	0	0	1	Orphadata	LOF	0	0	0	
SPINK1	LOF	0	0	0	0	0			0	0	0	
SPINK5	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SPINT2	LOF	0	0	0	0	0			0	0	0	
SPOP	DOMINANT_NEGATIVE;GOF;LOF	1	1	0	0	2	G2P_DDG2P;GoFCards_exact+ClinVar_VCV	DOMINANT_NEGATIVE;GOF	0	0	0	
SPP2	DOMINANT_NEGATIVE	0	0	0	0	0			0	0	0	
SPR	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SPRED1	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SPRTN	LOF	0	0	0	0	0			0	0	0	
SPTAN1	DOMINANT_NEGATIVE	1	1	0	0	1	G2P_DDG2P	DOMINANT_NEGATIVE	0	0	0	
SPTBN1	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SPTBN2	DOMINANT_NEGATIVE;LOF	1	1	0	0	3	G2P_DDG2P;Orphadata	DOMINANT_NEGATIVE;LOF	0	0	0	
SPTBN4	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SPTLC1	GOF	0	0	0	0	0			0	0	0	
SPTSSA	GOF;LOF	1	1	0	0	1	G2P_DDG2P	GOF;LOF	0	0	0	
SQSTM1	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SRC	GOF	0	0	0	0	0			0	0	0	
SRCAP	DOMINANT_NEGATIVE;LOF	1	1	0	0	2	G2P_DDG2P	DOMINANT_NEGATIVE;LOF	0	0	0	
SRD5A2	LOF	1	0	0	0	1	Orphadata	LOF	0	0	0	
SRD5A3	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SREBF1	GOF	0	0	0	0	0			0	0	0	
SREBF2	DOMINANT_NEGATIVE	0	0	0	0	0			0	0	0	
SRGAP3	LOF	0	0	0	0	0			0	0	0	
SRP54	LOF	0	0	0	0	0			0	0	0	
SRRM2	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SRSF1	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SRY	LOF	1	1	0	0	2	G2P_DDG2P;Orphadata	LOF	0	0	0	
ST3GAL5	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
STAC3	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
STAG1	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
STAG2	LOF	1	1	0	0	3	G2P_DDG2P;Orphadata	LOF	0	0	0	
STAMBP	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
STAR	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
STAT1	GOF	1	1	0	0	2	GoFCards_exact+ClinVar_VCV;Orphadata	GOF	1	0	0	OMIM:614892
STAT2	GOF;LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
STAT3	GOF	1	1	0	0	3	GoFCards_exact+ClinVar_VCV;Orphadata	GOF	0	0	0	
STAT4	GOF	0	0	0	0	0			0	0	0	
STAT5B	GOF;LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
STAT6	GOF	0	0	0	0	0			0	0	0	
STIL	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
STIM1	GOF	1	1	0	0	3	G2P_DDG2P;Orphadata	GOF	0	0	0	
STING1	GOF	1	1	0	0	1	GoFCards_exact+ClinVar_VCV	GOF	0	0	0	
STK11	LOF	1	1	0	0	2	G2P_DDG2P	LOF	0	0	0	
STK36	LOF	1	0	0	0	1	Orphadata	LOF	0	0	0	
STN1	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
STRA6	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
STRADA	LOF	1	1	0	0	2	G2P_DDG2P;Orphadata	LOF	0	0	0	
STS	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
STT3B	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
STUB1	LOF	1	0	0	0	1	Orphadata	LOF	0	0	0	
STX1B	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
STX3	LOF	1	0	0	0	1	Orphadata	LOF	0	0	0	
STXBP1	GOF;LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SUCLG1	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SUFU	LOF	1	0	0	0	1	Orphadata	LOF	1	0	0	OMIM:155255;OMIM:607174
SULT2B1	LOF	1	0	0	0	1	Orphadata	LOF	0	0	0	
SUMF1	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SUMO1	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SUOX	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SURF1	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SUZ12	LOF	1	1	0	0	2	G2P_DDG2P;Orphadata	LOF	0	0	0	
SVBP	LOF	0	0	0	0	0			0	0	0	
SYK	GOF	0	0	0	0	0			0	0	0	
SYN1	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SYNCRIP	LOF	0	0	0	0	0			0	0	0	
SYNE1	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SYNGAP1	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SYP	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SYT2	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SZT2	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
TAB2	GOF;LOF	0	0	0	0	0			0	0	0	
TAC3	LOF	1	0	0	0	1	Orphadata	LOF	0	0	0	
TACO1	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
TACR3	LOF	1	0	0	0	1	Orphadata	LOF	0	0	0	
TAF1	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
TAF4	LOF	0	0	0	0	0			0	0	0	
TAFAZZIN	LOF	1	1	0	0	2	G2P_DDG2P;Orphadata	LOF	0	0	0	
TALDO1	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
TANC2	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
TANGO2	LOF	1	1	0	0	2	G2P_DDG2P;Orphadata	LOF	0	0	0	
TAOK1	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
TAP1	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
TAPT1	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
TARDBP	GOF	1	1	0	0	1	GoFCards_exact+ClinVar_VCV	GOF	0	0	0	
TARS1	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
TARS2	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
TASP1	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
TAT	LOF	1	1	0	0	2	G2P_DDG2P;Orphadata	LOF	0	0	0	
TBC1D20	LOF	1	1	0	0	2	G2P_DDG2P;Orphadata	LOF	0	0	0	
TBC1D23	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
TBC1D24	LOF	1	1	0	0	3	G2P_DDG2P;Orphadata	LOF	0	0	0	
TBC1D2B	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
TBC1D32	LOF	0	0	0	0	0			0	0	0	
TBC1D7	LOF	1	0	0	0	1	Orphadata	LOF	0	0	0	
TBC1D8B	LOF	1	0	0	0	1	Orphadata	LOF	0	0	0	
TBCD	LOF	1	1	0	0	2	G2P_DDG2P;Orphadata	LOF	0	0	0	
TBCE	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
TBCK	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
TBK1	LOF	1	0	0	0	1	Orphadata	LOF	0	0	0	
TBL1XR1	GOF;LOF	1	1	0	0	2	G2P_DDG2P	GOF;LOF	0	0	0	
TBR1	LOF	0	0	0	0	0			0	0	0	
TBX1	GOF;LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
TBX15	LOF	1	1	0	0	2	G2P_DDG2P;Orphadata	LOF	0	0	0	
TBX18	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
TBX20	GOF;LOF	1	1	0	0	2	G2P_DDG2P;Orphadata	GOF;LOF	0	0	0	
TBX22	LOF	1	1	0	0	2	G2P_DDG2P	LOF	0	0	0	
TBX3	GOF;LOF	1	1	0	0	2	G2P_DDG2P;Orphadata	LOF	0	0	0	
TBX4	LOF	1	1	0	0	2	G2P_DDG2P	LOF	0	0	0	
