gene_symbol	historical_mechanisms	exact_condition_hpo_route	exact_route_with_inheritance	exact_route_with_penetrance	exact_route_with_both	exact_condition_count	exact_sources	exact_mechanisms	included_hpo_condition_with_inheritance_and_penetrance	unlinked_same_condition_hpo_candidate	unlinked_cross_condition_gene_wide_candidate	hpo_conditions_with_both
PROK2	LOF	1	0	0	0	2	Orphadata	LOF	1	0	0	OMIM:610628
PROKR2	LOF	1	0	0	0	2	Orphadata	LOF	1	0	0	OMIM:244200
PROM1	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
PROP1	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
PRORP	LOF	0	0	0	0	0			0	0	0	
PRPF19	LOF	0	0	0	0	0			0	0	0	
PRPF31	LOF	1	1	1	1	1	G2P_DDG2P	LOF	1	0	0	OMIM:600138
PRPF4	LOF	1	1	0	0	2	G2P_DDG2P;Orphadata	LOF	0	0	0	
PRPF8	LOF	0	0	0	0	0			1	1	1	OMIM:600059
PRPH2	GOF;LOF	0	0	0	0	0			0	0	0	
PRPS1	GOF;LOF	1	1	0	0	7	G2P_DDG2P;Orphadata	GOF;LOF	0	0	0	
PRR12	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
PRRT2	LOF	1	1	1	1	1	G2P_DDG2P	LOF	1	0	0	OMIM:128200;OMIM:605751
PRRX1	DOMINANT_NEGATIVE;LOF	1	1	0	0	2	G2P_DDG2P;Orphadata	DOMINANT_NEGATIVE;LOF	0	0	0	
PRSS1	GOF	1	1	0	0	2	GoFCards_exact+ClinVar_VCV;Orphadata	GOF	0	0	0	
PRSS12	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
PRSS2	GOF	0	0	0	0	0			0	0	0	
PRSS56	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
PRUNE1	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
PRX	LOF	0	0	0	0	0			0	0	0	
PSAP	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
PSAT1	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
PSKH1	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
PSMB8	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
PSMD11	LOF	0	0	0	0	0			0	0	0	
PSMD12	LOF	0	0	0	0	0			0	0	0	
PSPH	LOF	0	0	0	0	0			0	0	0	
PSTPIP1	DOMINANT_NEGATIVE;GOF	1	1	0	0	1	G2P_DDG2P;GoFCards_exact+ClinVar_VCV	DOMINANT_NEGATIVE;GOF	0	0	0	
PTCH1	LOF	1	1	0	0	2	G2P_DDG2P;Orphadata	LOF	1	0	0	OMIM:610828
PTCH2	LOF	0	0	0	0	0			1	1	1	OMIM:155255
PTCHD1	LOF	0	0	0	0	0			0	0	0	
PTDSS1	GOF	1	1	0	0	2	G2P_DDG2P;Orphadata	GOF	0	0	0	
