source	status	url	docs_url	raw_path	refresh_days	last_checked_at_utc	last_downloaded_at_utc	file_mtime_utc	size_bytes	sha256	md5	remote_md5	xsd_version	xsd_path	content_changed	error	official_update_note
clingen_dosage_gene_grch38	skipped_fresh	https://ftp.clinicalgenome.org/ClinGen_gene_curation_list_GRCh38.tsv	https://search.clinicalgenome.org/kb/downloads	/paedyl01/disk1/yangyxt/public_data/gene_pathogenic_mechanism/raw/ClinGen_gene_curation_list_GRCh38.tsv	1	2026-07-29T02:08:12+00:00		2026-07-28T13:33:29+00:00	246765	10abaa8d70eeea7fff407603c738e121c21fc205dca202c2925f1876f9caeffa	40be4351db8511b53428bc2e56da02d4				False		ClinGen says dosage curated gene TSV files are updated daily; the FTP index is refreshed nightly.
clinvar_vcv_weekly	skipped_fresh	https://ftp.ncbi.nlm.nih.gov/pub/clinvar/xml/weekly_release/ClinVarVCVRelease_00-latest_weekly.xml.gz	https://ftp.ncbi.nlm.nih.gov/pub/clinvar/xml/_README	/paedyl01/disk1/yangyxt/public_data/gene_pathogenic_mechanism/raw/clinvar_vcv/ClinVarVCVRelease_00-latest_weekly.xml.gz	7	2026-07-24T17:17:26+00:00		2026-07-23T03:50:40+00:00	5842033834	a597e9f90fef177a78b0f3654f5bcf03fd3313864a76d76a8ab84b9c0a650cff	6648ff42b4e03a881c3e5fb04931c31a	6648ff42b4e03a881c3e5fb04931c31a	2.6	/paedyl01/disk1/yangyxt/public_data/gene_pathogenic_mechanism/raw/clinvar_vcv/format/ClinVar_VCV_2.6.xsd	False		ClinVar generates VCV XML weekly. Check the companion MD5 first and download the multi-gigabyte XML only when that checksum changes.
g2p_ddg2p	skipped_fresh	https://www.ebi.ac.uk/gene2phenotype/api/panel/all/download	https://www.ebi.ac.uk/gene2phenotype/api/	/paedyl01/disk1/yangyxt/public_data/gene_pathogenic_mechanism/raw/AllG2P.csv	30	2026-07-29T02:08:12+00:00		2026-07-23T03:36:32+00:00	2444885	233ec4846789c082944d0c21bdb62a57c28a47ee72eefe13f4f02f97a1ccee37	efb52cc1f960537748c562bf52746d9b				False		G2P was redesigned as a Vue SPA in 2025. The old DDG2P.csv.gz static download URL is gone. Use the new API endpoint: /api/panel/{panel}/download (CSV, not gzipped). AllG2P covers all panels including DD, Eye, Skin, Cancer, Cardiac.
gofcards_gof_variants	skipped_fresh	https://download.genemed.tech/upload/GainFunCards/gofcards_data_download.xlsx	https://academic.oup.com/nar/article/53/D1/D976/7907365	/paedyl01/disk1/yangyxt/public_data/gene_pathogenic_mechanism/raw/gofcards/gofcards_data_download.xlsx	180	2026-07-29T02:08:12+00:00		2026-06-05T12:17:47+00:00	563471	a4f6bcf812f24d5b6cfc06e8cdf74a1cdeea6afdccb92489047c821eecc11b43	de1d8e4ed595fe44184e576b68acee3c				False		GoFCards (NAR 2025, 53:D976-D988, PMID:39578693) is a curated GOF variant database. Updates follow publication cycles.
panelapp_all_panels	skipped_fresh	https://panelapp.genomicsengland.co.uk/api/v1/panels/	https://panelapp.genomicsengland.co.uk/api/v1/panels/	/paedyl01/disk1/yangyxt/public_data/gene_pathogenic_mechanism/raw/panelapp_all_panels.json	7	2026-07-29T02:08:12+00:00		2026-07-24T09:44:01+00:00	78148536	c2fe9e1b6f7a42865fc12125dfc4eef533abfca90d2ea14aaa5910032a998fe7	b1496a1b2cab0497e381fed65923ce0e				False		PanelApp is curator/API-backed and does not publish one fixed bulk release cycle; panel versions expose version_created timestamps.
