gene_symbol	source	source_record_id	source_condition_id	mondo_id	disease_scope	priva_scope	scope_review_status	disease_label	inheritance	penetrance_raw	penetrance_hpo_ids	normalized_penetrance	patho_mode_raw	normalized_mechanisms	mechanism_confidence	disease_confidence	pmids	evidence_url	panel_or_submitter	phenotype_terms	notes
RAB18	Orphadata	ORPHA:2510|RAB18|disease_causing_germline_mutation_s_loss_of_function_in	ORPHA:2510	MONDO:0016649	mendelian_non_neoplastic	include	auto_supported	Micro syndrome					Disease-causing germline mutation(s) (loss of function) in	LOF	high	Assessed	23420520	https://www.orphadata.com/data/xml/en_product6.xml			association_status:Assessed
TBC1D20	Orphadata	ORPHA:2510|TBC1D20|disease_causing_germline_mutation_s_loss_of_function_in	ORPHA:2510	MONDO:0016649	mendelian_non_neoplastic	include	auto_supported	Micro syndrome					Disease-causing germline mutation(s) (loss of function) in	LOF	high	Assessed	24239381	https://www.orphadata.com/data/xml/en_product6.xml			association_status:Assessed
DPP6	Orphadata	ORPHA:2514|DPP6|disease_causing_germline_mutation_s_loss_of_function_in	ORPHA:2514	MONDO:0007988	mendelian_non_neoplastic	include	auto_supported	Autosomal dominant primary microcephaly					Disease-causing germline mutation(s) (loss of function) in	LOF	high	Assessed	23832105	https://www.orphadata.com/data/xml/en_product6.xml			association_status:Assessed
TSEN15	Orphadata	ORPHA:2524|TSEN15|disease_causing_germline_mutation_s_loss_of_function_in	ORPHA:2524	MONDO:0016759	mendelian_non_neoplastic	include	auto_supported	Pontocerebellar hypoplasia type 2					Disease-causing germline mutation(s) (loss of function) in	LOF	high	Assessed	27392077	https://www.orphadata.com/data/xml/en_product6.xml			association_status:Assessed
PRDM13	Orphadata	ORPHA:728521|PRDM13|disease_causing_germline_mutation_s_loss_of_function_in	ORPHA:728521					Pontocerebellar hypoplasia type 17					Disease-causing germline mutation(s) (loss of function) in	LOF	high	Assessed	35390279	https://www.orphadata.com/data/xml/en_product6.xml			association_status:Assessed
ORC4	Orphadata	ORPHA:2554|ORC4|disease_causing_germline_mutation_s_loss_of_function_in	ORPHA:2554	MONDO:0016817	mendelian_non_neoplastic	include	auto_supported	Ear-patella-short stature syndrome					Disease-causing germline mutation(s) (loss of function) in	LOF	high	Assessed	23516378;21358632	https://www.orphadata.com/data/xml/en_product6.xml			association_status:Assessed
ORC6	Orphadata	ORPHA:2554|ORC6|disease_causing_germline_mutation_s_loss_of_function_in	ORPHA:2554	MONDO:0016817	mendelian_non_neoplastic	include	auto_supported	Ear-patella-short stature syndrome					Disease-causing germline mutation(s) (loss of function) in	LOF	high	Assessed	23516378;21358632	https://www.orphadata.com/data/xml/en_product6.xml			association_status:Assessed
CDT1	Orphadata	ORPHA:2554|CDT1|disease_causing_germline_mutation_s_loss_of_function_in	ORPHA:2554	MONDO:0016817	mendelian_non_neoplastic	include	auto_supported	Ear-patella-short stature syndrome					Disease-causing germline mutation(s) (loss of function) in	LOF	high	Assessed	23516378;21358632	https://www.orphadata.com/data/xml/en_product6.xml			association_status:Assessed
CDC6	Orphadata	ORPHA:2554|CDC6|disease_causing_germline_mutation_s_loss_of_function_in	ORPHA:2554	MONDO:0016817	mendelian_non_neoplastic	include	auto_supported	Ear-patella-short stature syndrome					Disease-causing germline mutation(s) (loss of function) in	LOF	high	Assessed	23516378;21358632	https://www.orphadata.com/data/xml/en_product6.xml			association_status:Assessed
ORC1	Orphadata	ORPHA:2554|ORC1|disease_causing_germline_mutation_s_loss_of_function_in	ORPHA:2554	MONDO:0016817	mendelian_non_neoplastic	include	auto_supported	Ear-patella-short stature syndrome					Disease-causing germline mutation(s) (loss of function) in	LOF	high	Assessed	23516378;21358632	https://www.orphadata.com/data/xml/en_product6.xml			association_status:Assessed
GMNN	Orphadata	ORPHA:2554|GMNN|disease_causing_germline_mutation_s_gain_of_function_in	ORPHA:2554	MONDO:0016817	mendelian_non_neoplastic	include	auto_supported	Ear-patella-short stature syndrome					Disease-causing germline mutation(s) (gain of function) in	GOF	high	Assessed	26637980	https://www.orphadata.com/data/xml/en_product6.xml			association_status:Assessed
CDC45	Orphadata	ORPHA:2554|CDC45|disease_causing_germline_mutation_s_loss_of_function_in	ORPHA:2554	MONDO:0016817	mendelian_non_neoplastic	include	auto_supported	Ear-patella-short stature syndrome					Disease-causing germline mutation(s) (loss of function) in	LOF	high	Assessed	27374770	https://www.orphadata.com/data/xml/en_product6.xml			association_status:Assessed
NDUFB11	Orphadata	ORPHA:2556|NDUFB11|disease_causing_germline_mutation_s_loss_of_function_in	ORPHA:2556	MONDO:0010672	mendelian_non_neoplastic	include	auto_supported	Microphthalmia with linear skin defects syndrome					Disease-causing germline mutation(s) (loss of function) in	LOF	high	Assessed	25772934	https://www.orphadata.com/data/xml/en_product6.xml			association_status:Assessed
HNF1B	Orphadata	ORPHA:2578|HNF1B|disease_causing_germline_mutation_s_loss_of_function_in	ORPHA:2578	MONDO:0010989	mendelian_non_neoplastic	include	manually_confirmed	Mayer-Rokitansky-Küster-Hauser syndrome type 2					Disease-causing germline mutation(s) (loss of function) in	LOF	high	Assessed	36282544	https://www.orphadata.com/data/xml/en_product6.xml			association_status:Assessed
PRKAR1A	Orphadata	ORPHA:1359|PRKAR1A|disease_causing_germline_mutation_s_loss_of_function_in	ORPHA:1359	MONDO:0015285	mendelian_non_neoplastic	include	auto_supported	Carney complex					Disease-causing germline mutation(s) (loss of function) in	LOF	high	Assessed	20301463	https://www.orphadata.com/data/xml/en_product6.xml			association_status:Assessed
