gene_symbol	gofcards_exact_rows	exact_clinvar_vcv_rows	g2p_any_source_record	g2p_canonical_mechanism	g2p_priva_included_mechanism	orphadata_any_source_record	orphadata_canonical_mechanism	orphadata_priva_included_mechanism	only_gofcards_vs_explicit_sources	only_gofcards_vs_priva_included	only_gofcards_vs_any_source_record
COL4A2	2	0	1	1	1	0	0	0	0	0	0
CREB1	2	0	0	0	0	0	0	0	1	1	1
CRELD1	2	0	1	0	0	1	1	0	0	1	0
CRLF2	2	0	0	0	0	0	0	0	1	1	1
CRY1	1	0	0	0	0	0	0	0	1	1	1
CRYAA	1	1	1	1	1	0	0	0	0	0	0
CRYAB	2	0	1	1	1	0	0	0	0	0	0
CSF1R	7	0	1	1	1	1	1	0	0	0	0
CSF2	2	0	0	0	0	0	0	0	1	1	1
CSF3R	6	1	0	0	0	1	1	0	0	0	0
CTCF	2	0	1	1	1	0	0	0	0	0	0
CTNNB1	40	0	1	1	1	1	1	1	0	0	0
CXCR4	14	2	1	1	1	1	1	1	0	0	0
CYCS	2	0	0	0	0	0	0	0	1	1	1
CYFIP2	6	1	1	0	0	0	0	0	0	0	0
CYP2C18	2	0	0	0	0	0	0	0	1	1	1
CYP2C19	2	0	0	0	0	0	0	0	1	1	1
CYP3A4	4	0	0	0	0	0	0	0	1	1	1
DDR2	4	0	1	0	0	0	0	0	1	1	0
DHX58	2	1	0	0	0	0	0	0	0	0	0
DIAPH1	2	1	0	0	0	1	1	1	0	0	0
DLG1	2	0	0	0	0	0	0	0	1	1	1
DMRT1	4	0	0	0	0	0	0	0	1	1	1
DNAJC13	2	0	0	0	0	1	1	1	0	0	0
DNM2	20	4	0	0	0	0	0	0	0	0	0
DNMT3A	4	0	1	1	1	1	1	1	0	0	0
DPP6	4	0	0	0	0	1	1	1	0	0	0
DRD2	2	0	0	0	0	0	0	0	1	1	1
DSG2	2	1	1	0	0	0	0	0	0	0	0
DYRK1B	2	0	0	0	0	0	0	0	1	1	1
EDNRA	4	0	1	1	1	1	1	0	0	0	0
EEF1A2	6	2	1	1	1	0	0	0	0	0	0
EGFR	10	2	1	1	0	0	0	0	0	0	0
EGLN1	4	2	0	0	0	1	1	0	0	0	0
EIF4A2	2	0	1	0	0	1	1	0	0	1	0
ENTPD1	2	0	1	1	0	0	0	0	0	1	0
EPAS1	30	1	0	0	0	1	1	0	0	0	0
EPHA4	2	0	0	0	0	0	0	0	1	1	1
EPHB2	2	0	0	0	0	0	0	0	1	1	1
EPOR	4	1	0	0	0	0	0	0	0	0	0
ERBB2	22	0	0	0	0	0	0	0	1	1	1
ERBB3	2	0	1	0	0	1	1	0	0	1	0
ERBB4	4	0	0	0	0	0	0	0	1	1	1
ESR1	6	0	0	0	0	1	1	1	0	0	0
EYA2	2	0	0	0	0	0	0	0	1	1	1
EZH2	14	0	1	0	0	0	0	0	1	1	0
F12	2	1	1	1	1	1	1	0	0	0	0
F2	10	1	0	0	0	0	0	0	0	0	0
F5	2	0	0	0	0	1	1	0	0	1	0
F7	2	0	0	0	0	0	0	0	1	1	1
F9	2	0	0	0	0	0	0	0	1	1	1
FAAH	2	0	0	0	0	0	0	0	1	1	1
FAM83H	2	0	0	0	0	0	0	0	1	1	1
FCGR2A	1	0	0	0	0	0	0	0	1	1	1
FEM1B	2	0	1	1	0	0	0	0	0	1	0
FGF12	6	1	1	1	1	1	1	1	0	0	0
FGF23	2	0	0	0	0	1	1	1	0	0	0
FGFR1	4	0	1	1	1	1	1	1	0	0	0
FGFR2	17	6	1	1	1	1	1	1	0	0	0
FGFR3	24	7	1	1	1	1	1	1	0	0	0
FGFR4	6	1	0	0	0	0	0	0	0	0	0
FGR	2	0	0	0	0	0	0	0	1	1	1
FLNA	8	1	1	1	1	1	1	1	0	0	0
FLNB	6	1	1	1	1	1	1	1	0	0	0
FLT3	4	0	0	0	0	0	0	0	1	1	1
FMNL2	2	0	0	0	0	0	0	0	1	1	1
FN1	2	0	1	0	0	0	0	0	1	1	0
FOXC1	2	0	1	1	1	0	0	0	0	0	0
FOXC2	2	0	1	1	1	0	0	0	0	0	0
FOXE1	2	0	1	1	1	1	1	1	0	0	0
FOXL2	2	0	1	1	1	0	0	0	0	0	0
FOXN1	4	1	1	1	1	0	0	0	0	0	0
FUS	4	1	0	0	0	0	0	0	0	0	0
GABRA1	8	0	1	1	0	0	0	0	0	1	0
GABRB3	4	0	1	0	0	0	0	0	1	1	0
GABRD	2	0	1	1	0	0	0	0	0	1	0
GCM2	4	1	0	0	0	1	1	1	0	0	0
GDF5	10	0	1	1	1	1	1	1	0	0	0
GDF6	4	0	1	0	0	0	0	0	1	1	0
GFAP	4	2	1	1	1	1	1	1	0	0	0
GJA1	2	0	1	1	1	1	1	1	0	0	0
GJA4	2	0	0	0	0	0	0	0	1	1	1
GJA8	2	0	1	0	0	1	1	0	0	1	0
GJB1	2	1	0	0	0	0	0	0	0	0	0
GJB2	6	1	1	1	0	0	0	0	0	0	0
GLA	10	2	1	1	1	0	0	0	0	0	0
GLI1	2	0	0	0	0	1	1	1	0	0	0
GLS	2	0	0	0	0	1	1	0	0	1	0
GLUD1	2	0	1	1	1	0	0	0	0	0	0
GLUD2	2	0	0	0	0	0	0	0	1	1	1
GMNN	6	0	1	1	1	1	1	1	0	0	0
GNA11	14	1	1	1	0	1	1	1	0	0	0
GNAO1	2	0	1	1	1	0	0	0	0	0	0
GNAQ	6	0	1	1	1	0	0	0	0	0	0
GNAS	6	2	1	1	1	1	1	1	0	0	0
GNB1	2	1	1	1	1	0	0	0	0	0	0
GP1BA	10	2	0	0	0	0	0	0	0	0	0
GRIA1	2	1	1	0	0	0	0	0	0	0	0
GRIA2	2	0	1	1	1	0	0	0	0	0	0
GRIA3	4	0	1	1	1	1	1	1	0	0	0
GRIK2	2	1	1	1	1	1	1	0	0	0	0
GRIN1	6	0	1	1	1	1	1	1	0	0	0
GRIN2A	6	1	1	1	1	0	0	0	0	0	0
GRIN2B	12	0	1	1	1	1	1	1	0	0	0
GRIN2D	2	1	1	1	1	1	1	1	0	0	0
GRM1	4	0	1	1	1	0	0	0	0	0	0
GUCA1A	6	2	1	1	0	1	1	1	0	0	0
GUCY1A2	2	0	0	0	0	0	0	0	1	1	1
GUCY2C	2	0	1	1	1	0	0	0	0	0	0
GUCY2D	2	1	1	1	1	1	1	1	0	0	0
GYG1	1	0	0	0	0	1	1	0	0	1	0
GYS1	2	0	0	0	0	0	0	0	1	1	1
H3-3A	3	0	1	0	0	0	0	0	1	1	0
HBA1	2	1	0	0	0	0	0	0	0	0	0
HCN1	4	0	1	0	0	1	1	1	0	0	0
HCN2	4	0	0	0	0	0	0	0	1	1	1
HCN4	4	0	1	0	0	0	0	0	1	1	0
HDAC4	2	0	1	0	0	0	0	0	1	1	0
HDAC9	1	0	0	0	0	0	0	0	1	1	1
HERC1	2	0	1	1	1	1	1	1	0	0	0
HFE	2	1	1	1	0	0	0	0	0	0	0
HIF1A	2	0	0	0	0	0	0	0	1	1	1
HK1	6	1	1	1	1	0	0	0	0	0	0
HNF1B	2	0	1	1	1	1	1	1	0	0	0
HNRNPH2	2	1	1	0	0	0	0	0	0	0	0
