gene_symbol	gofcards_exact_rows	exact_clinvar_vcv_rows	g2p_any_source_record	g2p_canonical_mechanism	g2p_priva_included_mechanism	orphadata_any_source_record	orphadata_canonical_mechanism	orphadata_priva_included_mechanism	only_gofcards_vs_explicit_sources	only_gofcards_vs_priva_included	only_gofcards_vs_any_source_record
SLC1A2	6	0	1	0	0	0	0	0	1	1	0
SLC1A3	4	0	0	0	0	0	0	0	1	1	1
SLC22A4	2	1	0	0	0	0	0	0	0	0	0
SLC25A15	2	1	1	1	1	1	1	1	0	0	0
SLC25A24	2	1	1	0	0	0	0	0	0	0	0
SLC30A3	2	0	0	0	0	0	0	0	1	1	1
SLC30A8	1	0	0	0	0	0	0	0	1	1	1
SLC40A1	16	3	1	1	1	1	1	0	0	0	0
SLC41A1	2	0	0	0	0	0	0	0	1	1	1
SLC4A4	2	0	1	1	1	0	0	0	0	0	0
SLC6A1	6	0	1	1	1	1	1	1	0	0	0
SLC6A20	1	0	0	0	0	0	0	0	1	1	1
SLC6A4	10	1	0	0	0	0	0	0	0	0	0
SLC9A6	2	0	1	1	1	0	0	0	0	0	0
SLC9A7	2	0	1	0	0	0	0	0	1	1	0
SMAD4	4	2	1	1	1	0	0	0	0	0	0
SMARCA4	2	1	1	1	1	0	0	0	0	0	0
SMARCB1	2	1	1	1	1	1	1	0	0	0	0
SMCHD1	8	0	1	0	0	0	0	0	1	1	0
SMO	2	0	1	1	1	0	0	0	0	0	0
SNCA	10	0	0	0	0	1	1	1	0	0	0
SNCB	2	0	0	0	0	0	0	0	1	1	1
SNTA1	2	1	1	0	0	0	0	0	0	0	0
SOAT1	2	0	0	0	0	0	0	0	1	1	1
SOD1	13	1	0	0	0	0	0	0	0	0	0
SOS1	8	3	1	1	1	1	1	1	0	0	0
SOX17	2	0	1	0	0	0	0	0	1	1	0
SOX9	2	0	1	1	1	1	1	1	0	0	0
SPAST	2	0	1	1	1	0	0	0	0	0	0
SPOP	4	1	1	1	0	1	1	0	0	0	0
SPTLC1	10	1	0	0	0	0	0	0	0	0	0
SRC	2	0	0	0	0	1	1	0	0	1	0
SREBF1	2	0	1	0	0	0	0	0	1	1	0
STAT1	100	2	1	0	0	1	1	1	0	0	0
STAT2	2	0	1	1	1	1	1	0	0	0	0
STAT3	52	6	0	0	0	1	1	1	0	0	0
STAT4	6	0	0	0	0	0	0	0	1	1	1
STAT5B	8	0	1	1	1	0	0	0	0	0	0
STAT6	12	0	0	0	0	0	0	0	1	1	1
STIM1	16	0	1	1	1	1	1	1	0	0	0
STING1	22	2	0	0	0	1	1	0	0	0	0
STK19	2	0	0	0	0	0	0	0	1	1	1
STXBP1	2	0	1	1	1	0	0	0	0	0	0
SYK	10	0	0	0	0	1	1	0	0	1	0
TAB2	4	0	1	0	0	1	1	0	0	1	0
TARDBP	6	3	0	0	0	0	0	0	0	0	0
TBX1	3	0	1	1	1	0	0	0	0	0	0
TBX20	2	0	1	1	1	1	1	1	0	0	0
TBX3	2	0	1	1	1	1	1	1	0	0	0
TBX5	6	0	1	1	1	0	0	0	0	0	0
TEK	18	3	1	1	1	1	1	1	0	0	0
TERT	4	0	1	1	1	0	0	0	0	0	0
TET2	2	0	0	0	0	1	1	0	0	1	0
TGFB1	3	1	1	0	0	1	1	0	0	0	0
TGFBR2	4	0	1	1	1	0	0	0	0	0	0
THBS4	2	0	0	0	0	0	0	0	1	1	1
THRA	2	0	1	1	1	0	0	0	0	0	0
TLR7	6	0	0	0	0	0	0	0	1	1	1
TLR8	2	0	0	0	0	1	1	0	0	1	0
TMC1	2	1	0	0	0	0	0	0	0	0	0
TMEM175	2	1	0	0	0	0	0	0	0	0	0
TNFAIP3	2	0	0	0	0	1	1	0	0	1	0
TNFRSF11B	2	0	0	0	0	0	0	0	1	1	1
TNFRSF13B	2	0	1	1	1	0	0	0	0	0	0
TNNI1	2	0	0	0	0	0	0	0	1	1	1
TP53	113	45	1	1	1	0	0	0	0	0	0
TP63	12	0	1	1	1	0	0	0	0	0	0
TP73	2	0	1	1	1	0	0	0	0	0	0
TPCN2	6	0	0	0	0	0	0	0	1	1	1
TRIB1	2	0	0	0	0	0	0	0	1	1	1
TRIB3	2	0	0	0	0	0	0	0	1	1	1
TRIO	16	1	1	0	0	1	1	1	0	0	0
TRPA1	6	0	0	0	0	1	1	0	0	1	0
TRPC6	30	3	0	0	0	1	1	1	0	0	0
TRPM3	8	0	1	0	0	0	0	0	1	1	0
TRPM4	14	2	1	0	0	1	1	1	0	0	0
TRPM7	2	0	0	0	0	0	0	0	1	1	1
TRPM8	2	0	0	0	0	0	0	0	1	1	1
TRPV3	22	0	1	0	0	1	1	1	0	0	0
TRPV4	16	2	1	1	1	1	1	1	0	0	0
TSC2	2	1	1	1	0	0	0	0	0	0	0
TSHR	32	0	1	1	1	1	1	1	0	0	0
TUBA1A	2	1	1	0	0	0	0	0	0	0	0
TUBA4A	2	0	0	0	0	0	0	0	1	1	1
TUBB4A	2	0	1	1	1	0	0	0	0	0	0
TYK2	2	0	0	0	0	1	1	0	0	1	0
UBTF	4	1	1	1	1	1	1	1	0	0	0
UCHL1	2	0	0	0	0	1	1	0	0	1	0
UNC13A	2	0	1	1	0	0	0	0	0	1	0
UNC93B1	2	0	0	0	0	0	0	0	1	1	1
USP24	1	0	0	0	0	0	0	0	1	1	1
USP25	2	0	1	1	0	0	0	0	0	1	0
USP8	10	0	0	0	0	0	0	0	1	1	1
VCL	2	0	1	0	0	0	0	0	1	1	0
VLDLR	2	0	1	1	1	0	0	0	0	0	0
VPS35	4	1	0	0	0	0	0	0	0	0	0
VWF	20	7	0	0	0	0	0	0	0	0	0
WAS	8	1	0	0	0	0	0	0	0	0	0
WNK1	2	0	1	1	1	1	1	1	0	0	0
WT1	2	0	1	1	1	0	0	0	0	0	0
YARS1	2	1	0	0	0	0	0	0	0	0	0
YWHAZ	2	0	1	0	0	0	0	0	1	1	0
ZAP70	4	0	0	0	0	0	0	0	1	1	1
ZIC1	1	0	1	1	1	1	1	0	0	0	0
ZNF367	1	0	0	0	0	0	0	0	1	1	1
